Project_ID,Project_Name,Location,Project_Type,Area_sqft,Estimated_Budget_INR,Actual_Cost_INR,Material_Cost_INR,Labour_Cost_INR,Equipment_Cost_INR,Other_Cost_INR,Expected_Duration_Days,Actual_Duration_Days,Delay_Days,Contractor,Project_Status,Start_Date,Expected_End_Date,Actual_End_Date,Budget_Variance_INR,Budget_Overrun_Pct,Cost_Per_Sqft_INR
P0245,Urban Enclave,Ahmedabad,Residential,81218,177905000,145882000,49072000,29772000,20851000,46187000,824,824,0,Royal Infra,Ongoing,2025-10-04,2028-01-06,2028-01-06,-32023000,-18.0,1796.18
P0246,Green Valley Residency,Rajkot,Residential,68230,163385000,167054000,73551000,47714000,19099000,26690000,575,698,123,Urban Infra,Delayed,2023-10-22,2025-05-19,2025-09-19,3669000,2.25,2448.4
P0247,Metro Business Park,Ahmedabad,Infrastructure,79055,212637000,224688000,104479000,45701000,25204000,49304000,707,827,120,Sunrise Constructions,Completed,2024-02-03,2026-01-10,2026-05-10,12051000,5.67,2842.17
P0248,Urban Enclave,Mumbai,Infrastructure,77258,224294000,185375000,81370000,40341000,24306000,39358000,621,744,123,MetroBuild,Delayed,2024-08-12,2026-04-25,2026-08-26,-38919000,-17.35,2399.43
P0249,Skyline Residency,Mumbai,Residential,44986,120743000,130394000,52842000,33181000,9181000,35190000,880,885,5,Apex Developers,Completed,2023-02-07,2025-07-06,2025-07-11,9651000,7.99,2898.55
P0250,Sunrise Plaza,Mumbai,Commercial,90595,285553000,281650000,128913000,72272000,40394000,40071000,714,834,120,Shree BuildTech,Ongoing,2025-10-01,2027-09-15,2028-01-13,-3903000,-1.37,3108.89
P0251,Urban Mall,Ahmedabad,Residential,106358,261958000,277820000,119792000,73324000,23836000,60868000,144,144,0,Royal Infra,Completed,2022-05-27,2022-10-18,2022-10-18,15862000,6.06,2612.12
P0252,Royal Residency,Ahmedabad,Infrastructure,69929,194124000,192173000,61820000,37174000,28582000,64597000,688,688,0,Sunrise Constructions,Completed,2025-03-17,2027-02-03,2027-02-03,-1951000,-1.01,2748.12
P0253,Galaxy Residency,Ahmedabad,Residential,78506,204693000,239514000,91747000,67528000,30873000,49366000,151,271,120,MetroBuild,Completed,2024-05-13,2024-10-11,2025-02-08,34821000,17.01,3050.9
P0254,Shree Residency,Surat,Infrastructure,39911,122757000,128545000,58636000,31357000,16960000,21592000,131,176,45,Apex Developers,Completed,2023-05-04,2023-09-12,2023-10-27,5788000,4.72,3220.79
P0255,Shree Complex,Mumbai,Infrastructure,92127,281950000,321505000,120673000,76055000,39383000,85394000,438,498,60,Patel Construction,Ongoing,2024-07-17,2025-09-28,2025-11-27,39555000,14.03,3489.8
P0256,Metro Enclave,Ahmedabad,Residential,118453,316799000,364372000,118652000,108485000,39255000,97980000,723,738,15,GreenStone Projects,Ongoing,2023-07-05,2025-06-27,2025-07-12,47573000,15.02,3076.09
P0257,Royal Business Park,Surat,Commercial,89458,259372000,229714000,100934000,61758000,26585000,40437000,120,135,15,Apex Developers,Completed,2022-12-04,2023-04-03,2023-04-18,-29658000,-11.43,2567.84
P0258,Silver Heights,Ahmedabad,Industrial,17175,35398000,32967000,14780000,6401000,2430000,9356000,554,655,101,Patel Construction,Delayed,2024-05-21,2025-11-26,2026-03-07,-2431000,-6.87,1919.48
P0259,Crystal Industrial Park,Gandhinagar,Residential,124235,317661000,341229000,117961000,92400000,40919000,89949000,255,255,0,Patel Construction,Completed,2023-10-03,2024-06-14,2024-06-14,23568000,7.42,2746.64
P0260,Shree Business Park,Rajkot,Industrial,59771,107922000,105346000,42768000,20166000,12651000,29761000,315,330,15,MetroBuild,Ongoing,2023-04-18,2024-02-27,2024-03-13,-2576000,-2.39,1762.49
P0261,Silver Complex,Ahmedabad,Residential,132157,352190000,349150000,122451000,63998000,49334000,113367000,252,372,120,Apex Developers,Completed,2022-05-31,2023-02-07,2023-06-07,-3040000,-0.86,2641.93
P0262,Green Valley Complex,Pune,Industrial,126300,223796000,262823000,114348000,60038000,29029000,59408000,205,215,10,GreenStone Projects,Completed,2025-12-09,2026-07-02,2026-07-12,39027000,17.44,2080.94
P0263,Crystal Plaza,Vadodara,Commercial,91925,308721000,303397000,110269000,90785000,23110000,79233000,595,685,90,Apex Developers,Completed,2025-08-14,2027-04-01,2027-06-30,-5324000,-1.72,3300.48
P0264,Sunrise Business Park,Ahmedabad,Commercial,71358,216809000,195936000,72613000,39380000,18515000,65428000,443,458,15,Patel Construction,Ongoing,2022-09-20,2023-12-07,2023-12-22,-20873000,-9.63,2745.82
P0265,Crystal Heights,Mumbai,Residential,52057,124300000,114349000,52051000,29813000,14002000,18483000,299,389,90,Urban Infra,Ongoing,2022-05-24,2023-03-19,2023-06-17,-9951000,-8.01,2196.61
P0266,Royal Enclave,Mumbai,Infrastructure,11150,33037000,42350000,16780000,8504000,3775000,13291000,635,665,30,Sunrise Constructions,Completed,2022-12-12,2024-09-07,2024-10-07,9313000,28.19,3798.21
P0267,Royal Plaza,Ahmedabad,Industrial,9425,18336000,18311000,7822000,4889000,1693000,3907000,757,767,10,Shree BuildTech,Completed,2023-09-16,2025-10-12,2025-10-22,-25000,-0.14,1942.81
P0268,Shree Industrial Park,Rajkot,Infrastructure,21032,58539000,50126000,19267000,12062000,6799000,11998000,294,294,0,Apex Developers,Completed,2024-10-13,2025-08-03,2025-08-03,-8413000,-14.37,2383.32
P0269,Silver Business Park,Surat,Infrastructure,7198,19586000,16061000,5905000,4202000,1875000,4079000,882,1002,120,Sunrise Constructions,Ongoing,2024-05-30,2026-10-29,2027-02-26,-3525000,-18.0,2231.31
P0270,Royal Enclave,Ahmedabad,Infrastructure,149931,455375000,430349000,180779000,87940000,47632000,113998000,140,260,120,Sunrise Constructions,Ongoing,2022-01-02,2022-05-22,2022-09-19,-25026000,-5.5,2870.31
P0271,Shree Industrial Park,Vadodara,Commercial,123865,369272000,367949000,126860000,99153000,35130000,106806000,224,224,0,Royal Infra,Completed,2024-06-15,2025-01-25,2025-01-25,-1323000,-0.36,2970.56
P0272,Shree Plaza,Ahmedabad,Residential,144777,345596000,391872000,148786000,117356000,50345000,75385000,697,757,60,Urban Infra,Completed,2025-08-20,2027-07-18,2027-09-16,46276000,13.39,2706.73
P0273,Skyline Enclave,Ahmedabad,Residential,28236,74464000,83570000,29537000,21718000,7773000,24542000,562,572,10,Sunrise Constructions,Ongoing,2022-09-11,2024-03-26,2024-04-05,9106000,12.23,2959.7
P0274,Metro Enclave,Rajkot,Commercial,92955,323063000,329278000,142027000,78769000,42465000,66017000,894,894,0,Apex Developers,Completed,2023-03-29,2025-09-08,2025-09-08,6215000,1.92,3542.34
P0275,Skyline Complex,Mumbai,Commercial,108145,341983000,330185000,155541000,96011000,24965000,53668000,168,228,60,MetroBuild,Completed,2024-11-26,2025-05-13,2025-07-12,-11798000,-3.45,3053.17
P0276,Royal Complex,Ahmedabad,Residential,99914,256072000,271629000,130187000,49410000,37801000,54231000,647,647,0,MetroBuild,Completed,2025-03-29,2027-01-05,2027-01-05,15557000,6.08,2718.63
P0277,Royal Mall,Ahmedabad,Infrastructure,107870,326530000,267755000,104972000,71649000,29444000,61690000,264,294,30,Royal Infra,Completed,2024-10-11,2025-07-02,2025-08-01,-58775000,-18.0,2482.2
P0278,Galaxy Residency,Ahmedabad,Industrial,121243,252374000,317418000,114399000,90988000,33354000,78677000,459,479,20,Sunrise Constructions,Ongoing,2022-01-09,2023-04-13,2023-05-03,65044000,25.77,2618.03
P0279,Sunrise Plaza,Vadodara,Industrial,19596,37969000,41709000,16302000,7816000,4958000,12633000,881,881,0,Apex Developers,Ongoing,2025-06-10,2027-11-08,2027-11-08,3740000,9.85,2128.44
P0280,Galaxy Heights,Ahmedabad,Industrial,137351,246609000,277198000,126281000,64866000,33246000,52805000,473,593,120,Apex Developers,Completed,2025-01-27,2026-05-15,2026-09-12,30589000,12.4,2018.17
P0281,Shree Complex,Ahmedabad,Infrastructure,116496,311891000,277927000,98097000,56855000,22391000,100584000,194,314,120,Patel Construction,Ongoing,2024-03-26,2024-10-06,2025-02-03,-33964000,-10.89,2385.72
P0282,Urban Mall,Surat,Residential,135273,313309000,367799000,173724000,91208000,47997000,54870000,697,707,10,Urban Infra,Completed,2022-07-27,2024-06-23,2024-07-03,54490000,17.39,2718.94
P0283,Metro Mall,Surat,Commercial,143155,472130000,455510000,170679000,117497000,41941000,125393000,756,905,149,GreenStone Projects,Delayed,2025-02-28,2027-03-26,2027-08-22,-16620000,-3.52,3181.94
P0284,Silver Mall,Ahmedabad,Residential,125674,273633000,247827000,118394000,53609000,35290000,40534000,438,443,5,Shree BuildTech,Ongoing,2023-02-08,2024-04-21,2024-04-26,-25806000,-9.43,1971.98
P0285,Metro Plaza,Vadodara,Infrastructure,125307,364869000,370451000,168250000,87129000,50169000,64903000,206,206,0,GreenStone Projects,Ongoing,2022-06-01,2022-12-24,2022-12-24,5582000,1.53,2956.35
P0286,Urban Plaza,Vadodara,Commercial,24063,75474000,76417000,34340000,16317000,7466000,18294000,672,702,30,Royal Infra,Completed,2022-02-23,2023-12-27,2024-01-26,943000,1.25,3175.71
P0287,Shree Business Park,Mumbai,Infrastructure,72642,196269000,174792000,64824000,39211000,23530000,47227000,817,827,10,Patel Construction,Completed,2025-02-17,2027-05-15,2027-05-25,-21477000,-10.94,2406.21
P0288,Royal Business Park,Ahmedabad,Industrial,95093,197568000,180302000,57950000,35906000,17762000,68684000,897,897,0,Shree BuildTech,Completed,2023-09-20,2026-03-05,2026-03-05,-17266000,-8.74,1896.06
P0289,Royal Business Park,Ahmedabad,Industrial,40954,77906000,70366000,26819000,20143000,5494000,17910000,161,281,120,GreenStone Projects,Ongoing,2023-08-10,2024-01-18,2024-05-17,-7540000,-9.68,1718.17
P0290,Urban Industrial Park,Pune,Infrastructure,32856,84721000,76618000,28218000,13883000,11259000,23258000,212,212,0,Apex Developers,Completed,2025-12-14,2026-07-14,2026-07-14,-8103000,-9.56,2331.93
P0291,Metro Heights,Ahmedabad,Commercial,7573,26218000,25521000,8319000,7296000,3119000,6787000,816,936,120,MetroBuild,Delayed,2025-12-16,2028-03-11,2028-07-09,-697000,-2.66,3370.0
P0292,Galaxy Industrial Park,Vadodara,Commercial,40367,117611000,100360000,40230000,24950000,10687000,24493000,846,966,120,Patel Construction,Delayed,2022-04-14,2024-08-07,2024-12-05,-17251000,-14.67,2486.19
P0293,Skyline Heights,Ahmedabad,Residential,104608,266094000,249339000,95867000,54804000,25388000,73280000,626,746,120,GreenStone Projects,Ongoing,2022-09-11,2024-05-29,2024-09-26,-16755000,-6.3,2383.56
P0294,Skyline Residency,Ahmedabad,Industrial,65774,133751000,153201000,64579000,40869000,14704000,33049000,648,705,57,Royal Infra,Delayed,2025-06-04,2027-03-14,2027-05-10,19450000,14.54,2329.2
P0295,Silver Complex,Ahmedabad,Residential,28752,67457000,75471000,31652000,18183000,11209000,14427000,384,429,45,Sunrise Constructions,Completed,2025-02-09,2026-02-28,2026-04-14,8014000,11.88,2624.9
P0296,Royal Residency,Ahmedabad,Residential,60029,155805000,139292000,47264000,33415000,11252000,47361000,745,745,0,Royal Infra,Completed,2023-05-25,2025-06-08,2025-06-08,-16513000,-10.6,2320.41
P0297,Skyline Industrial Park,Pune,Infrastructure,135282,383882000,435700000,207530000,84185000,41472000,102513000,411,416,5,Royal Infra,Completed,2026-02-05,2027-03-23,2027-03-28,51818000,13.5,3220.68
P0298,Shree Business Park,Gandhinagar,Infrastructure,56693,159046000,130418000,45634000,29571000,14195000,41018000,583,613,30,Royal Infra,Ongoing,2022-04-09,2023-11-13,2023-12-13,-28628000,-18.0,2300.43
P0299,Green Valley Residency,Gandhinagar,Residential,121739,265875000,348694000,136424000,72852000,37743000,101675000,679,709,30,Sunrise Constructions,Completed,2022-06-02,2024-04-11,2024-05-11,82819000,31.15,2864.28
P0300,Galaxy Plaza,Ahmedabad,Industrial,60961,111634000,131286000,52265000,23879000,14141000,41001000,216,337,121,Shree BuildTech,Delayed,2024-07-02,2025-02-03,2025-06-04,19652000,17.6,2153.61
P0301,Galaxy Enclave,Rajkot,Infrastructure,131678,407346000,388132000,174694000,86636000,32627000,94175000,214,334,120,Apex Developers,Completed,2024-05-27,2024-12-27,2025-04-26,-19214000,-4.72,2947.58
P0302,Galaxy Industrial Park,Surat,Residential,79532,188243000,200647000,67393000,38279000,16372000,78603000,445,535,90,MetroBuild,Completed,2022-12-04,2024-02-22,2024-05-22,12404000,6.59,2522.85
P0303,Crystal Mall,Surat,Residential,86994,213019000,181469000,70516000,38257000,16401000,56295000,193,283,90,Shree BuildTech,Delayed,2024-04-01,2024-10-11,2025-01-09,-31550000,-14.81,2085.99
P0304,Sunrise Industrial Park,Pune,Residential,61133,149220000,153287000,64466000,29293000,21945000,37583000,455,485,30,GreenStone Projects,Completed,2025-04-01,2026-06-30,2026-07-30,4067000,2.73,2507.43
P0305,Urban Enclave,Pune,Residential,66268,163798000,163464000,57936000,31404000,12921000,61203000,187,247,60,GreenStone Projects,Completed,2024-08-14,2025-02-17,2025-04-18,-334000,-0.2,2466.71
P0306,Sunrise Residency,Mumbai,Residential,36653,80357000,73915000,31073000,15070000,9653000,18119000,877,907,30,MetroBuild,Ongoing,2022-06-10,2024-11-03,2024-12-03,-6442000,-8.02,2016.62
P0307,Metro Mall,Ahmedabad,Residential,126829,298204000,287401000,134442000,86215000,37536000,29208000,196,201,5,GreenStone Projects,Completed,2024-03-11,2024-09-23,2024-09-28,-10803000,-3.62,2266.05
P0308,Royal Industrial Park,Ahmedabad,Infrastructure,133377,395522000,376522000,180581000,67873000,50748000,77320000,327,357,30,Urban Infra,Completed,2023-02-02,2023-12-26,2024-01-25,-19000000,-4.8,2822.99
P0309,Crystal Heights,Surat,Industrial,6622,11879000,10503000,3415000,2695000,1480000,2913000,885,930,45,MetroBuild,Completed,2025-07-24,2027-12-26,2028-02-09,-1376000,-11.58,1586.08
P0310,Urban Plaza,Rajkot,Residential,53756,121891000,111777000,39982000,22014000,10177000,39604000,340,360,20,Sunrise Constructions,Completed,2024-03-26,2025-03-01,2025-03-21,-10114000,-8.3,2079.34
P0311,Shree Complex,Ahmedabad,Commercial,45809,132255000,112017000,41407000,32538000,9854000,28218000,381,501,120,GreenStone Projects,Delayed,2025-11-16,2026-12-02,2027-04-01,-20238000,-15.3,2445.31
P0312,Green Valley Complex,Vadodara,Infrastructure,21725,60602000,68049000,26121000,13013000,7298000,21617000,529,587,58,GreenStone Projects,Delayed,2025-03-04,2026-08-15,2026-10-12,7447000,12.29,3132.29
P0313,Urban Complex,Rajkot,Infrastructure,56226,172263000,156440000,56125000,46088000,14268000,39959000,450,495,45,Patel Construction,Completed,2025-05-03,2026-07-27,2026-09-10,-15823000,-9.19,2782.34
P0314,Green Valley Business Park,Mumbai,Residential,86182,188515000,164641000,58046000,41705000,21197000,43693000,463,553,90,Patel Construction,Completed,2023-02-05,2024-05-13,2024-08-11,-23874000,-12.66,1910.39
P0315,Shree Heights,Rajkot,Infrastructure,34402,90743000,101721000,48086000,18325000,12296000,23014000,890,920,30,Patel Construction,Completed,2023-10-02,2026-03-10,2026-04-09,10978000,12.1,2956.83
P0316,Shree Plaza,Vadodara,Residential,9263,21525000,22910000,10698000,6582000,3207000,2423000,193,234,41,MetroBuild,Delayed,2024-11-22,2025-06-03,2025-07-14,1385000,6.43,2473.28
P0317,Crystal Enclave,Ahmedabad,Industrial,52924,106687000,119120000,39014000,28899000,9127000,42080000,756,876,120,Sunrise Constructions,Completed,2023-11-19,2025-12-14,2026-04-13,12433000,11.65,2250.77
P0318,Royal Plaza,Gandhinagar,Industrial,79182,156605000,176953000,66218000,37429000,25341000,47965000,819,819,0,MetroBuild,Completed,2023-04-05,2025-07-02,2025-07-02,20348000,12.99,2234.76
P0319,Galaxy Plaza,Ahmedabad,Infrastructure,147736,410148000,513708000,197687000,139766000,48015000,128240000,373,393,20,Royal Infra,Ongoing,2024-08-12,2025-08-20,2025-09-09,103560000,25.25,3477.2
P0320,Skyline Industrial Park,Ahmedabad,Infrastructure,40737,121705000,121860000,43655000,35486000,13314000,29405000,866,905,39,Apex Developers,Delayed,2023-04-15,2025-08-28,2025-10-06,155000,0.13,2991.38
P0321,Sunrise Business Park,Ahmedabad,Commercial,106332,351872000,297362000,125076000,70785000,31249000,70252000,881,881,0,Sunrise Constructions,Completed,2025-10-30,2028-03-29,2028-03-29,-54510000,-15.49,2796.54
P0322,Royal Plaza,Surat,Infrastructure,94563,290494000,305752000,129168000,66613000,40000000,69971000,451,571,120,Sunrise Constructions,Completed,2024-11-11,2026-02-05,2026-06-05,15258000,5.25,3233.32
P0323,Galaxy Enclave,Vadodara,Commercial,133575,461621000,433794000,197845000,119152000,44953000,71844000,517,562,45,Royal Infra,Completed,2024-01-20,2025-06-20,2025-08-04,-27827000,-6.03,3247.57
P0324,Sunrise Plaza,Ahmedabad,Industrial,106371,193135000,174806000,76659000,45767000,25432000,26948000,464,469,5,MetroBuild,Completed,2022-02-07,2023-05-17,2023-05-22,-18329000,-9.49,1643.36
P0325,Crystal Enclave,Pune,Industrial,43709,79702000,82252000,33461000,23578000,11696000,13517000,703,708,5,MetroBuild,Ongoing,2022-08-18,2024-07-21,2024-07-26,2550000,3.2,1881.81
P0326,Galaxy Industrial Park,Surat,Residential,26172,58264000,65482000,27802000,17228000,9153000,11299000,866,866,0,Patel Construction,Ongoing,2025-10-20,2028-03-04,2028-03-04,7218000,12.39,2501.99
P0327,Galaxy Residency,Mumbai,Industrial,16555,30641000,28180000,10253000,5896000,2133000,9898000,787,797,10,Sunrise Constructions,Ongoing,2023-07-17,2025-09-11,2025-09-21,-2461000,-8.03,1702.2
P0328,Shree Business Park,Surat,Commercial,58276,208842000,244956000,101630000,71478000,33887000,37961000,574,574,0,Patel Construction,Completed,2023-03-14,2024-10-08,2024-10-08,36114000,17.29,4203.38
P0329,Skyline Plaza,Ahmedabad,Infrastructure,62492,173099000,156005000,62133000,30043000,20675000,43154000,234,279,45,Apex Developers,Completed,2025-07-30,2026-03-21,2026-05-05,-17094000,-9.88,2496.4
P0330,Metro Enclave,Ahmedabad,Residential,94599,215347000,213351000,72824000,45263000,16701000,78563000,432,432,0,Urban Infra,Completed,2022-01-27,2023-04-04,2023-04-04,-1996000,-0.93,2255.32
P0331,Royal Enclave,Pune,Commercial,16046,54826000,58464000,20977000,14173000,4595000,18719000,347,347,0,Patel Construction,Completed,2022-08-14,2023-07-27,2023-07-27,3638000,6.64,3643.52
P0332,Metro Mall,Pune,Infrastructure,121021,345414000,336244000,123291000,83351000,26258000,103344000,364,484,120,MetroBuild,Ongoing,2025-07-24,2026-07-23,2026-11-20,-9170000,-2.65,2778.39
P0333,Urban Enclave,Ahmedabad,Residential,9853,22061000,18090000,8464000,3289000,1283000,5054000,645,655,10,GreenStone Projects,Completed,2024-03-08,2025-12-13,2025-12-23,-3971000,-18.0,1835.99
P0334,Skyline Residency,Pune,Industrial,125900,235323000,266218000,95003000,72856000,30320000,68039000,647,662,15,Shree BuildTech,Completed,2022-10-11,2024-07-19,2024-08-03,30895000,13.13,2114.52
P0335,Silver Plaza,Pune,Commercial,64129,203404000,192254000,70419000,42948000,28429000,50458000,546,546,0,Urban Infra,Completed,2024-05-28,2025-11-25,2025-11-25,-11150000,-5.48,2997.93
P0336,Silver Complex,Ahmedabad,Infrastructure,119130,355527000,394417000,149522000,90231000,41451000,113213000,161,281,120,Apex Developers,Completed,2024-08-17,2025-01-25,2025-05-25,38890000,10.94,3310.81
P0337,Galaxy Industrial Park,Rajkot,Residential,148184,321695000,279329000,119050000,77409000,31637000,51233000,584,674,90,GreenStone Projects,Completed,2023-03-29,2024-11-02,2025-01-31,-42366000,-13.17,1885.01
P0338,Crystal Heights,Pune,Residential,126789,291874000,259414000,87920000,58501000,38247000,74746000,741,843,102,MetroBuild,Delayed,2024-10-16,2026-10-27,2027-02-06,-32460000,-11.12,2046.03
P0339,Galaxy Residency,Ahmedabad,Industrial,43890,84548000,94989000,44895000,17636000,8588000,23870000,397,457,60,Urban Infra,Completed,2024-03-26,2025-04-27,2025-06-26,10441000,12.35,2164.25
P0340,Shree Business Park,Gandhinagar,Infrastructure,71017,190724000,202332000,92767000,40704000,28059000,40802000,138,138,0,Royal Infra,Ongoing,2023-10-21,2024-03-07,2024-03-07,11608000,6.09,2849.06
P0341,Silver Heights,Ahmedabad,Industrial,137596,271434000,262577000,108275000,77384000,29858000,47060000,185,190,5,MetroBuild,Completed,2023-07-01,2024-01-02,2024-01-07,-8857000,-3.26,1908.32
P0342,Skyline Enclave,Ahmedabad,Industrial,105424,201510000,214125000,91613000,40352000,24744000,57416000,286,301,15,Patel Construction,Completed,2025-04-30,2026-02-10,2026-02-25,12615000,6.26,2031.08
P0343,Shree Business Park,Rajkot,Infrastructure,20048,54988000,49792000,16066000,11083000,4852000,17791000,704,841,137,GreenStone Projects,Delayed,2024-12-08,2026-11-12,2027-03-29,-5196000,-9.45,2483.64
P0344,Urban Residency,Ahmedabad,Infrastructure,59912,186010000,192191000,71924000,46199000,22088000,51980000,522,567,45,MetroBuild,Completed,2022-01-17,2023-06-23,2023-08-07,6181000,3.32,3207.89
P0345,Silver Enclave,Rajkot,Infrastructure,39008,113490000,117511000,52563000,28108000,8913000,27927000,528,543,15,GreenStone Projects,Ongoing,2025-04-10,2026-09-20,2026-10-05,4021000,3.54,3012.48
P0346,Green Valley Mall,Surat,Commercial,136132,404513000,394459000,131117000,71190000,51742000,140410000,231,251,20,Apex Developers,Completed,2025-05-28,2026-01-14,2026-02-03,-10054000,-2.49,2897.62
P0347,Urban Industrial Park,Gandhinagar,Infrastructure,88559,253723000,233366000,85218000,56040000,21651000,70457000,393,403,10,Shree BuildTech,Ongoing,2022-06-07,2023-07-05,2023-07-15,-20357000,-8.02,2635.15
P0348,Sunrise Industrial Park,Ahmedabad,Residential,60337,155200000,159612000,66023000,36081000,22507000,35001000,526,646,120,Patel Construction,Ongoing,2023-04-22,2024-09-29,2025-01-27,4412000,2.84,2645.34
P0349,Green Valley Industrial Park,Mumbai,Industrial,115616,231943000,235052000,84860000,69728000,23371000,57093000,492,642,150,Patel Construction,Delayed,2024-12-05,2026-04-11,2026-09-08,3109000,1.34,2033.04
P0350,Urban Enclave,Ahmedabad,Commercial,18350,55071000,53094000,24924000,10571000,4323000,13276000,716,769,53,GreenStone Projects,Delayed,2025-10-28,2027-10-14,2027-12-06,-1977000,-3.59,2893.41
P0351,Skyline Complex,Ahmedabad,Infrastructure,29354,91555000,82028000,27969000,18251000,10309000,25499000,770,830,60,Apex Developers,Ongoing,2023-06-02,2025-07-11,2025-09-09,-9527000,-10.41,2794.44
P0352,Silver Heights,Ahmedabad,Commercial,50186,160393000,163841000,73332000,37739000,13626000,39144000,158,248,90,Apex Developers,Completed,2022-04-09,2022-09-14,2022-12-13,3448000,2.15,3264.68
P0353,Skyline Business Park,Pune,Infrastructure,33145,86772000,83683000,33580000,18986000,10903000,20214000,224,239,15,Urban Infra,Ongoing,2024-11-26,2025-07-08,2025-07-23,-3089000,-3.56,2524.75
P0354,Shree Residency,Rajkot,Commercial,91123,273994000,245455000,108013000,63794000,36192000,37456000,443,453,10,Shree BuildTech,Ongoing,2022-10-07,2023-12-24,2024-01-03,-28539000,-10.42,2693.67
P0355,Green Valley Enclave,Surat,Industrial,25581,44794000,45924000,16979000,9454000,6079000,13412000,533,533,0,MetroBuild,Completed,2025-10-04,2027-03-21,2027-03-21,1130000,2.52,1795.24
P0356,Urban Plaza,Pune,Industrial,93929,192167000,233098000,93780000,48141000,16735000,74442000,548,558,10,Urban Infra,Completed,2023-05-12,2024-11-10,2024-11-20,40931000,21.3,2481.64
P0357,Crystal Business Park,Vadodara,Residential,28051,62398000,60899000,27837000,16291000,7186000,9585000,754,821,67,MetroBuild,Delayed,2022-10-29,2024-11-21,2025-01-27,-1499000,-2.4,2171.01
P0358,Sunrise Heights,Surat,Residential,56474,125715000,150824000,59530000,36203000,18948000,36143000,849,894,45,MetroBuild,Completed,2022-06-30,2024-10-26,2024-12-10,25109000,19.97,2670.68
P0359,Urban Residency,Ahmedabad,Infrastructure,96748,294490000,375098000,141620000,86205000,51027000,96246000,180,180,0,MetroBuild,Completed,2023-08-30,2024-02-26,2024-02-26,80608000,27.37,3877.06
P0360,Silver Industrial Park,Ahmedabad,Industrial,130995,242871000,219941000,89249000,44055000,16381000,70256000,731,880,149,Urban Infra,Delayed,2025-01-27,2027-01-28,2027-06-26,-22930000,-9.44,1679.0
P0361,Royal Heights,Ahmedabad,Commercial,74626,216544000,221110000,96134000,44775000,23970000,56231000,426,446,20,Patel Construction,Completed,2023-12-01,2025-01-30,2025-02-19,4566000,2.11,2962.91
P0362,Green Valley Residency,Vadodara,Commercial,11960,34882000,44386000,17354000,8046000,5008000,13978000,473,563,90,Apex Developers,Completed,2024-09-19,2026-01-05,2026-04-05,9504000,27.25,3711.2
P0363,Galaxy Enclave,Pune,Commercial,41408,123399000,124074000,58342000,23695000,10364000,31673000,512,527,15,Patel Construction,Ongoing,2025-02-13,2026-07-10,2026-07-25,675000,0.55,2996.38
P0364,Skyline Mall,Ahmedabad,Residential,99006,225008000,230502000,84638000,56893000,22081000,66890000,323,338,15,Shree BuildTech,Completed,2022-07-10,2023-05-29,2023-06-13,5494000,2.44,2328.16
P0365,Silver Enclave,Vadodara,Commercial,62134,208041000,170594000,67568000,48965000,17950000,36111000,377,497,120,Urban Infra,Ongoing,2022-09-10,2023-09-22,2024-01-20,-37447000,-18.0,2745.58
P0366,Galaxy Business Park,Gandhinagar,Residential,137413,308227000,294727000,130007000,63207000,40276000,61237000,605,625,20,Royal Infra,Completed,2024-09-07,2026-05-05,2026-05-25,-13500000,-4.38,2144.83
P0367,Silver Complex,Mumbai,Residential,95327,211890000,230255000,99069000,50502000,33238000,47446000,636,651,15,Shree BuildTech,Completed,2024-07-16,2026-04-13,2026-04-28,18365000,8.67,2415.42
P0368,Skyline Business Park,Rajkot,Infrastructure,136410,408011000,535112000,245179000,103744000,64360000,121829000,565,575,10,Apex Developers,Completed,2025-03-30,2026-10-16,2026-10-26,127101000,31.15,3922.82
P0369,Crystal Enclave,Ahmedabad,Commercial,148326,497251000,495500000,237587000,112298000,50341000,95274000,828,943,115,Apex Developers,Delayed,2025-07-03,2027-10-09,2028-02-01,-1751000,-0.35,3340.61
P0370,Galaxy Complex,Gandhinagar,Commercial,16344,52080000,42731000,16592000,7882000,3860000,14397000,299,309,10,Sunrise Constructions,Completed,2025-09-08,2026-07-04,2026-07-14,-9349000,-17.95,2614.48
P0371,Sunrise Heights,Surat,Industrial,137822,267321000,227589000,76876000,66026000,33813000,50874000,461,506,45,Shree BuildTech,Completed,2022-05-08,2023-08-12,2023-09-26,-39732000,-14.86,1651.33
P0372,Crystal Business Park,Rajkot,Infrastructure,72957,197873000,200981000,65292000,52410000,29874000,53405000,252,282,30,Royal Infra,Completed,2022-01-18,2022-09-27,2022-10-27,3108000,1.57,2754.79
P0373,Royal Complex,Vadodara,Industrial,110423,211094000,245136000,106953000,73269000,35299000,29615000,562,682,120,Patel Construction,Completed,2023-07-20,2025-02-01,2025-06-01,34042000,16.13,2219.97
P0374,Urban Enclave,Rajkot,Infrastructure,63053,178573000,195802000,90038000,55987000,26013000,23764000,372,432,60,GreenStone Projects,Completed,2023-07-24,2024-07-30,2024-09-28,17229000,9.65,3105.36
P0375,Skyline Residency,Ahmedabad,Commercial,82454,259946000,279502000,99311000,66175000,26850000,87166000,384,389,5,Royal Infra,Completed,2025-09-08,2026-09-27,2026-10-02,19556000,7.52,3389.79
